LinkId,Geometry
109475,"LINESTRING(354845.45169 6689208.29187,354841.57138 6689215.91536,354839.52619 6689220.13930,354837.96930 6689224.02345,354829.21740 6689266.82098,354828.09549 6689272.32666,354816.43033 6689329.36760)"
109476,"LINESTRING(354816.43033 6689329.36760,354813.98485 6689341.34752,354806.84636 6689376.25221,354806.76867 6689376.61275,354806.51563 6689377.87354)"
109773,"LINESTRING(355238.45044 6689087.48061,355239.60135 6689089.16094,355239.63472 6689091.05048,355238.67024 6689095.08942,355237.89369 6689096.86999,355234.46016 6689104.75666,355232.66797 6689108.50964,355231.41570 6689111.89764,355230.42533 6689115.22600)"
109774,"LINESTRING(355230.42533 6689115.22600,355231.41570 6689111.89764,355232.66797 6689108.50964,355234.46016 6689104.75666,355237.89369 6689096.86999,355238.67024 6689095.08942,355239.63472 6689091.05048,355239.60135 6689089.16094,355238.45044 6689087.48061)"
110327,"LINESTRING(355111.44885 6688953.20490,355108.85721 6688947.32426,355104.47341 6688939.03266,355098.70895 6688930.46483,355092.73256 6688922.82161,355086.75866 6688916.40215,355082.90427 6688912.28570,355078.77699 6688906.72749)"
110336,"LINESTRING(354924.76940 6688824.76370,354919.75465 6688825.88819,354915.44999 6688827.36104,354911.41288 6688828.74053)"
11110,"LINESTRING(355155.11409 6689687.50980,355151.46380 6689691.63726,355110.43746 6689738.05800,355086.73906 6689764.51795,355047.19125 6689807.64932,355043.34512 6689811.00934,355038.17882 6689815.13554)"
111576,"LINESTRING(355800.69354 6689166.78230,355758.42191 6689137.50016)"
111577,"LINESTRING(355758.42191 6689137.50016,355800.69354 6689166.78230)"
111578,"LINESTRING(355758.42191 6689137.50016,355706.86825 6689102.40082)"
111579,"LINESTRING(355706.86825 6689102.40082,355758.42191 6689137.50016)"
111769,"LINESTRING(356393.03391 6689355.18595,356397.02339 6689347.19011,356403.17865 6689339.54798,356406.94631 6689335.20319)"
111978,"LINESTRING(354912.39153 6689703.14690,354905.70578 6689709.57524,354899.43731 6689716.40225,354895.23032 6689720.86250)"
111979,"LINESTRING(354895.23032 6689720.86250,354899.43731 6689716.40225,354905.70578 6689709.57524,354912.39153 6689703.14690)"
111990,"LINESTRING(355729.17856 6689196.18720,355760.75449 6689213.66933,355772.31112 6689219.63380,355782.84252 6689226.22489,355795.65903 6689236.94551)"
111991,"LINESTRING(355795.65903 6689236.94551,355782.84252 6689226.22489,355772.31112 6689219.63380,355760.75449 6689213.66933,355729.17856 6689196.18720)"
111992,"LINESTRING(355795.65903 6689236.94551,355803.36244 6689242.87643,355806.11775 6689246.08873,355807.79179 6689249.21876,355811.87548 6689255.61442,355812.97074 6689257.25355)"
111993,"LINESTRING(355825.53278 6689263.82770,355828.65182 6689264.01494,355833.20045 6689264.40900,355840.32006 6689266.13455,355851.50779 6689270.30687)"
111994,"LINESTRING(355851.50779 6689270.30687,355839.03292 6689271.68290,355833.50707 6689272.74711,355825.22207 6689275.39465)"
111995,"LINESTRING(355798.14310 6689331.25285,355801.53769 6689324.25888,355804.66635 6689316.33452,355808.52930 6689304.31786)"
111996,"LINESTRING(355808.52930 6689304.31786,355804.66635 6689316.33452,355801.53769 6689324.25888,355798.14310 6689331.25285)"
111997,"LINESTRING(355819.49020 6689280.50959,355816.71936 6689285.17556,355814.08682 6689290.26747,355808.52930 6689304.31786)"
112005,"LINESTRING(356074.96921 6689353.72993,356069.98159 6689350.19003,356033.40165 6689324.38314,356023.93213 6689317.53015,356002.19492 6689302.62814,355998.79319 6689300.29862,355914.89229 6689242.95222,355913.11674 6689241.74172)"
112006,"LINESTRING(355913.11674 6689241.74172,355914.89229 6689242.95222,355998.79319 6689300.29862,356002.19492 6689302.62814,356023.93213 6689317.53015,356033.40165 6689324.38314,356069.98159 6689350.19003,356074.96921 6689353.72993)"
112007,"LINESTRING(355913.11674 6689241.74172,355910.93792 6689240.24295,355904.46459 6689235.92101,355871.16844 6689213.70858,355825.78456 6689184.08258,355809.43245 6689172.92053,355806.41746 6689170.85809,355800.69354 6689166.78230)"
112008,"LINESTRING(355800.69354 6689166.78230,355806.41746 6689170.85809,355809.43245 6689172.92053,355825.78456 6689184.08258,355871.16844 6689213.70858,355904.46459 6689235.92101,355910.93792 6689240.24295,355913.11674 6689241.74172)"
112214,"LINESTRING(355290.43642 6689884.17994,355294.60233 6689876.90739,355320.43897 6689840.61147,355325.42740 6689835.37205,355331.00332 6689829.54238,355334.99401 6689825.79590)"
112215,"LINESTRING(355334.99401 6689825.79590,355331.00332 6689829.54238,355325.42740 6689835.37205,355320.43897 6689840.61147,355294.60233 6689876.90739,355290.43642 6689884.17994)"
112216,"LINESTRING(355334.99401 6689825.79590,355337.30315 6689823.51512)"
112217,"LINESTRING(355337.30315 6689823.51512,355334.99401 6689825.79590)"
112218,"LINESTRING(355337.30315 6689823.51512,355339.69821 6689821.54091,355345.47372 6689816.93474,355347.86817 6689815.60589)"
112219,"LINESTRING(355347.86817 6689815.60589,355345.47372 6689816.93474,355339.69821 6689821.54091,355337.30315 6689823.51512)"
112220,"LINESTRING(355290.43642 6689884.17994,355242.78886 6689830.44494,355234.64066 6689816.68525)"
112221,"LINESTRING(355234.64066 6689816.68525,355242.78886 6689830.44494,355290.43642 6689884.17994)"
112625,"LINESTRING(354948.54883 6688827.43849,354980.90910 6688845.29417,355024.41903 6688866.51084,355039.26565 6688873.75243)"
112634,"LINESTRING(354944.97317 6688833.51996,354941.95561 6688832.47057)"
112639,"LINESTRING(355084.98334 6688902.08509,355088.27382 6688908.38151,355091.21527 6688912.05005)"
